"task_id","draft_id","material_id","knowledge_category","audience","candidate_question","source_path","conversion_path","rule_title","trigger_condition","eligibility","required_materials","process_steps","time_limits","exceptions","evidence_quote","status","reviewer","notes","review_result"
"P1-REX-0006","REX-20260324-0024","MAT-20260324-0023","入学与学籍","新生","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案） 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0023__附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.md","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）","学生提交申请或学院收取材料时执行","适用于新生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0007","REX-20260324-0025","MAT-20260324-0024","奖助贷补","新生","附件3：（     学院）国家助学金申请表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0024__附件3：（     学院）国家助学金申请表.md","附件3：（     学院）国家助学金申请表","学生提交申请或学院收取材料时执行","适用于新生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件3：（     学院）国家助学金申请表》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0008","REX-20260324-0026","MAT-20260324-0025","奖助贷补","新生","附件4：本专科生国家助学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0025__附件4：本专科生国家助学金实施细则.md","附件4：本专科生国家助学金实施细则","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《附件4：本专科生国家助学金实施细则》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件4：本专科生国家助学金实施细则》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0009","REX-20260324-0027","MAT-20260324-0026","奖助贷补","新生","关于做好2024-2025学年本科生国家助学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0026__关于做好2024-2025学年本科生国家助学金评选工作的通知.md","关于做好2024-2025学年本科生国家助学金评选工作的通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于做好2024-2025学年本科生国家助学金评选工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于做好2024-2025学年本科生国家助学金评选工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0010","REX-20260324-0028","MAT-20260324-0027","奖助贷补","新生","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0027__附件2：一网通办系统学生申请操作说明.md","附件2：一网通办系统学生申请操作说明","系统办理或流程执行环节启动时执行","适用于新生及对应管理人员","按《附件2：一网通办系统学生申请操作说明》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件2：一网通办系统学生申请操作说明》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0011","REX-20260324-0029","MAT-20260324-0028","奖助贷补","新生","关于开展2025-2026学年家庭经济困难认定的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0028__关于开展2025-2026学年家庭经济困难认定的通知.md","关于开展2025-2026学年家庭经济困难认定的通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于开展2025-2026学年家庭经济困难认定的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于开展2025-2026学年家庭经济困难认定的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0012","REX-20260324-0030","MAT-20260324-0029","奖助贷补","新生","学院、班级一网通办操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0029__学院、班级一网通办操作说明.md","学院、班级一网通办操作说明","系统办理或流程执行环节启动时执行","适用于新生及对应管理人员","按《学院、班级一网通办操作说明》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《学院、班级一网通办操作说明》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0013","REX-20260324-0045","MAT-20260324-0044","就业与毕业","毕业生","毕业生登记表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业生登记表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0044__毕业生登记表.md","毕业生登记表","学生提交申请或学院收取材料时执行","适用于毕业生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《毕业生登记表》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0014","REX-20260324-0046","MAT-20260324-0045","就业与毕业","毕业生","高校毕业生档案转递单功能操作手册 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案转递/高校毕业生档案转递单功能操作手册.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0045__高校毕业生档案转递单功能操作手册.md","高校毕业生档案转递单功能操作手册","系统办理或流程执行环节启动时执行","适用于毕业生及对应管理人员","按《高校毕业生档案转递单功能操作手册》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《高校毕业生档案转递单功能操作手册》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0015","REX-20260324-0047","MAT-20260324-0046","就业与毕业","毕业生","关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0046__关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知.md","关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知","相关工作通知发布并进入办理周期时执行","适用于毕业生及对应管理人员","按《关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
