rule_task_id,material_id,source_path,file_name,title_guess,knowledge_type,extracted_rules,rule_confidence,evidence_status,notes
RULE-A1-001,MAT-20260324-0030,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","制度条款","国家奖学金和省政府奖学金奖励标准分别为每人每年8000元和6000元。申请条件包括：二年级以上在校生、学习成绩优异（成绩排名与综测排名均位于前10%）、社会实践等表现突出。同一学年内，国家奖学金和省政府奖学金不可兼得。","高","完整","需细化成绩排名10%-30%的替补条件"
RULE-A1-002,MAT-20260324-0031,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","流程规则","省政府奖学金评选流程：学生申请→学院审核推荐→学校评审→公示→上报教育厅。学院推荐须按分配名额1:1.2比例差额推荐，评审材料包括申请表、成绩单、获奖证书复印件等。","中","部分","具体名额分配比例待确认"
RULE-A1-003,MAT-20260324-0032,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","制度条款","国家奖学金奖励标准为每人每年8000元。申请条件：二年级及以上在校生，学习成绩排名与综合测评排名均位于前10%，社会实践、创新能力等表现突出。成绩排名10%-30%者需在道德风尚、学术研究等方面有突出表现。","高","完整","细则版本需与现行版本核对"
RULE-A1-004,MAT-20260324-0033,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","关于做好2024-2025学年本科生国家奖学金评选工作的通知","流程规则","国家奖学金评选实行差额评审，各学院按分配名额1:1.2比例推荐候选人。学院须成立评审小组，评审结果公示不少于3个工作日。申请材料包括审批表、成绩单、获奖证明等，须在规定时间内通过学工系统提交。","中","部分","具体时间节点和系统操作待确认"
RULE-A1-005,MAT-20260324-0034,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知","制度条款","国家励志奖学金标准每人每年5000元，省政府励志奖学金标准每人每年5000元。申请条件：二年级以上、家庭经济困难认定通过、学习成绩优秀（成绩排名与综测排名均位于前30%）。同一学年内，国家奖学金和励志奖学金不可兼得。","高","完整","成绩排名30%后的替补条件待确认"
RULE-A1-006,MAT-20260324-0035,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/励志奖学金审核要点.docx","励志奖学金审核要点.docx","励志奖学金审核要点","判定标准","励志奖学金审核要点：1）必须是经认定的家庭经济困难学生；2）学习成绩和综测排名均位于班级前30%；3）同一学年内未获得国家奖学金；4）申请材料完整规范；5）无违纪处分记录。审核不通过情形：成绩排名不符、材料弄虚作假、违纪处分期内。","高","完整","待确认现行版本是否有更新"
RULE-A1-007,MAT-20260324-0036,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表","表格模板","国家助学金申请表模板包含：个人基本信息、家庭经济情况、申请理由、班级评议意见、学院审核意见等栏目。填写要求：字迹工整、信息真实、理由简明扼要。申请表须附身份证复印件和困难认定证明材料。","中","部分","表格字段细节需核对现行版本"
RULE-A1-008,MAT-20260324-0037,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则","制度条款","国家助学金平均资助标准为每生每年3300元，分2-3档执行（一般2000-4500元/年）。申请条件：家庭经济困难认定通过、遵守校规校纪、学习态度端正。助学金按学期发放，退学休学期间暂停发放。","高","完整","具体分档标准由学校自主确定，需确认现行标准"
RULE-A1-009,MAT-20260324-0038,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知","流程规则","国家助学金评选流程：学生申请→班级民主评议→学院审核公示→学校审批。班级评议须成立民主评议小组，评议结果班级内公示。学院审核后公示不少于3个工作日。","中","部分","具体时间节点需确认现行年度安排"
RULE-A1-010,MAT-20260324-0039,"数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明","流程规则","一网通办系统申请流程：登录系统→进入资助服务模块→选择困难认定申请→填写调查表→上传证明材料→提交申请→查看审核进度。系统操作问题可咨询辅导员或学校资助中心。","中","部分","系统界面和操作步骤可能已更新"
