"entry_id","task_id","draft_id","material_id","knowledge_category","audience","candidate_question","source_path","rule_title","extraction_status","review_result","entry_path","draft_status"
"KB-20260324-0023","P1-REX-0006","REX-20260324-0024","MAT-20260324-0023","入学与学籍","新生","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案） 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0023.md","drafted"
"KB-20260324-0024","P1-REX-0007","REX-20260324-0025","MAT-20260324-0024","奖助贷补","新生","附件3：（     学院）国家助学金申请表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0024.md","drafted"
"KB-20260324-0025","P1-REX-0008","REX-20260324-0026","MAT-20260324-0025","奖助贷补","新生","附件4：本专科生国家助学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0025.md","drafted"
"KB-20260324-0026","P1-REX-0009","REX-20260324-0027","MAT-20260324-0026","奖助贷补","新生","关于做好2024-2025学年本科生国家助学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0026.md","drafted"
"KB-20260324-0027","P1-REX-0010","REX-20260324-0028","MAT-20260324-0027","奖助贷补","新生","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0027.md","drafted"
"KB-20260324-0028","P1-REX-0011","REX-20260324-0029","MAT-20260324-0028","奖助贷补","新生","关于开展2025-2026学年家庭经济困难认定的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0028.md","drafted"
"KB-20260324-0029","P1-REX-0012","REX-20260324-0030","MAT-20260324-0029","奖助贷补","新生","学院、班级一网通办操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0029.md","drafted"
"KB-20260324-0030","P1-REX-0013","REX-20260324-0045","MAT-20260324-0044","就业与毕业","毕业生","毕业生登记表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业生登记表.docx","毕业生登记表","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0030.md","drafted"
"KB-20260324-0031","P1-REX-0014","REX-20260324-0046","MAT-20260324-0045","就业与毕业","毕业生","高校毕业生档案转递单功能操作手册 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案转递/高校毕业生档案转递单功能操作手册.docx","高校毕业生档案转递单功能操作手册","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0031.md","drafted"
"KB-20260324-0032","P1-REX-0015","REX-20260324-0047","MAT-20260324-0046","就业与毕业","毕业生","关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知.docx","关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0032.md","drafted"
"KB-20260324-0033","P1-REX-0016","REX-20260324-0048","MAT-20260324-0047","就业与毕业","毕业生","关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知.docx","关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0033.md","drafted"
"KB-20260324-0034","P1-REX-0017","REX-20260324-0049","MAT-20260324-0048","就业与毕业","毕业生","关于开展校（院）2025年毕业生就业政策宣传月活动的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025年毕业生就业政策宣传月活动的通知.docx","关于开展校（院）2025年毕业生就业政策宣传月活动的通知","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0034.md","drafted"
"KB-20260324-0035","P1-REX-0018","REX-20260324-0050","MAT-20260324-0049","就业与毕业","新生","智慧团建团支部转出步骤 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级毕业生团关系转出/智慧团建团支部转出步骤.docx","智慧团建团支部转出步骤","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0035.md","drafted"
"KB-20260324-0036","P1-REX-0019","REX-20260324-0053","MAT-20260324-0052","事务申请与审批","新生","附件2：免予执行《国家学生体质健康标准》申请表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件2：免予执行《国家学生体质健康标准》申请表.docx","附件2：免予执行《国家学生体质健康标准》申请表","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0036.md","drafted"
"KB-20260324-0037","P1-REX-0020","REX-20260324-0054","MAT-20260324-0053","事务申请与审批","新生","外媒采访报备 涉及的办理规则与执行要求是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/外媒采访报备.docx","外媒采访报备","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0037.md","drafted"
"KB-20260324-0038","P1-REX-0021","REX-20260324-0056","MAT-20260324-0055","待定","新生","通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/通知.docx","通知","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0038.md","drafted"
"KB-20260324-0039","P1-REX-0022","REX-20260324-0057","MAT-20260324-0056","待定","新生","附件5：体质健康测试承诺书 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件5：体质健康测试承诺书.docx","附件5：体质健康测试承诺书","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0039.md","drafted"
"KB-20260324-0040","P1-REX-0023","REX-20260324-0058","MAT-20260324-0057","待定","新生","2025 外研社校赛通知（总） 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025外研社比赛/2025 外研社校赛通知（总）.docx","2025 外研社校赛通知（总）","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0040.md","drafted"
"KB-20260324-0041","P1-REX-0024","REX-20260324-0059","MAT-20260324-0058","待定","新生","校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/比赛活动/校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知.docx","校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0041.md","drafted"
