entry_id,material_id,title,knowledge_category,rule_type,rule_summary,rule_detail,confidence_level,verification_status,notes
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,计算公式,综合素质测评成绩计算公式,综合素质测评成绩=德育测评成绩×10%+学业考核成绩×70%+体美劳育测评成绩×10%+拓展性素质测评成绩×10%,已核实,已验证,来源于制度原文
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,计算公式,学业考核成绩计算,学业考核成绩=必修课程加权平均成绩×60%+限定选修课程加权平均成绩×40%,已核实,已验证,来源于制度原文
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,时间规则,测评时间要求,每学年进行一次，一般于新学年开学后一个月内完成,已核实,已验证,来源于制度原文
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,资格条件,评优限制条件,思想道德素质测评成绩在班级后20%者不得加本学年任何荣誉称号的评选,已核实,已验证,来源于制度原文
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,评分标准,拓展性素质获奖加分-创新创业及学科竞赛,国家级6分省级4分市级3分校级2分,已核实,已验证,来源于附件2
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,评分标准,拓展性素质获奖加分-发表论文,SCI/EI/CSSCI 6分国内核心B类及以上4分C类2分省市级一般期刊1分,已核实,已验证,来源于附件2
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,评分标准,拓展性素质获奖加分-学生干部任职,校级组织主席6分部长5分干事3分；院级组织主席/志愿服务队队长5分部长4分干事2分；班级班长团支4分其他班委2分舍长1分,已核实,已验证,来源于附件2
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,扣分规则,违纪扣分标准,受记过及以上处分扣5分；受记过以下处分扣1-3分；学业预警扣2分；弄虚作假扣5分,已核实,已验证,来源于制度原文
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,评分标准,青年大学习要求,每学年学习率达90%即1年只能漏做1次,已核实,已验证,来源于德育测评标准
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,评分标准,班会出勤扣分,班会出勤旷一次扣2分累计三次以上记0分,已核实,已验证,来源于德育测评标准
