"issue_id","issue_type","severity","kb_id","material_id","source_batch","title","description","evidence_location","recommended_action"
"CONFLICT-001","KB编号冲突","P0-严重","KB-20260324-0061","MAT-20260324-0024","BATCH-A1","国家助学金申请表","与BATCH-A2(KB-0061:就业活动)、BATCH-A3(KB-0061:综合素质测评)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-002","KB编号冲突","P0-严重","KB-20260324-0062","MAT-20260324-0025","BATCH-A1","本专科生国家助学金实施细则","与BATCH-A2(KB-0062:西部计划)、BATCH-A3(KB-0062:留校住宿同意书)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-003","KB编号冲突","P0-严重","KB-20260324-0063","MAT-20260324-0026","BATCH-A1","本科生国家助学金评选工作通知","与BATCH-A2(KB-0063:毕业生登记表)、BATCH-A3(KB-0063:免测申请)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-004","KB编号冲突","P0-严重","KB-20260324-0064","MAT-20260324-0027","BATCH-A1","一网通办系统学生申请操作说明","与BATCH-A2(KB-0064:档案转递单)、BATCH-A3(KB-0064:外媒采访报备)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-005","KB编号冲突","P0-严重","KB-20260324-0065","MAT-20260324-0028","BATCH-A1","家庭经济困难认定工作通知","与BATCH-A2(KB-0065:就业数据监测)、BATCH-A3(KB-0065:入团申请书)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-006","KB编号冲突","P0-严重","KB-20260324-0066","MAT-20260324-0029","BATCH-A1","学院、班级一网通办操作说明","与BATCH-A2(KB-0066:困难群体就业帮扶)、BATCH-A3(KB-0066:体测承诺书)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-007","KB编号冲突","P0-严重","KB-20260324-0067","MAT-20260324-0055","BATCH-A1","院级优秀学生评选通知","与BATCH-A2(KB-0067:百日冲刺行动)、BATCH-A3(KB-0067:外研社校赛)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-008","KB编号冲突","P0-严重","KB-20260324-0068","MAT-20260324-CAND-001","BATCH-A1","山东省高等教育资助申请表","与BATCH-A2(KB-0068:就业政策宣传月)、BATCH-A3(KB-0068:学宪法讲宪法)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-009","KB编号冲突","P0-严重","KB-20260324-0069","MAT-20260324-CAND-002","BATCH-A1","个人承诺书及家庭经济状况核对授权","与BATCH-A2(KB-0069:优秀毕业生典型)、BATCH-A3(KB-0069:宪法卫士)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
"CONFLICT-010","KB编号冲突","P0-严重","KB-20260324-0070","MAT-20260324-CAND-003","BATCH-A1","贫困认定弃权声明","与BATCH-A2(KB-0070:2024届就业举措[过期])、BATCH-A3(KB-0070:医保停保)使用相同编号","batch-a1-queue.csv vs batch-a2-queue.csv","建议A2/A3重新编号为KB-0082起"
