"entry_id","task_id","draft_id","material_id","knowledge_category","audience","candidate_question","source_path","rule_title","extraction_status","review_result","entry_path","draft_status"
"KB-20260324-0001","P0-REX-0001","REX-20260323-0001","MAT-20260323-0001","入学与学籍","全体学生","新生入学后学籍注册与信息核对的标准流程是什么？","数据库部分材料/数据库部分材料/学生手册.md","新生入学报到与学籍注册规则","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0001.md","drafted"
"KB-20260324-0002","P0-REX-0002","REX-20260323-0002","MAT-20260323-0001","奖助贷补","全体学生","学生申请奖助学金时需要满足哪些条件并准备哪些材料？","数据库部分材料/数据库部分材料/学生手册.md","本科生励志奖学金申请评审规则","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0002.md","drafted"
"KB-20260324-0003","P0-REX-0003","REX-20260323-0006","MAT-20260323-0002","入学与学籍","新生","新生如何核对教育在线中的学籍信息与班级实际情况？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件1：教育在线学生信息与班级实际情况核对方法.doc","教育在线学籍名单核对流程","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0003.md","drafted"
"KB-20260324-0004","P0-REX-0004","REX-20260323-0007","MAT-20260323-0003","入学与学籍","新生","学信网学籍注册信息应如何核对，常见错误怎么处理？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件5：学信网学籍注册信息核对方法指南.doc","学信网学籍注册核验与身份证号重复处理","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0004.md","drafted"
"KB-20260324-0005","P0-REX-0005","REX-20260323-0008","MAT-20260323-0004","入学与学籍","新生","2025级新生入学资格复查要准备什么、按什么流程办理？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/通知.docx","2025级新生入学资格审查与录取资格复查流程","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0005.md","drafted"
"KB-20260324-0006","P0-REX-0006","REX-20260323-0009","MAT-20260323-0005","奖助贷补","新生","家庭经济困难认定与助学金评审的时间和条件是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/通知.docx","家庭经济困难认定与助学金评审时间节点","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0006.md","drafted"
"KB-20260324-0007","P0-REX-0007","REX-20260323-0010","MAT-20260323-0006","奖助贷补","学生","助学金评审在一网通办系统里如何操作？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx","一网通办国家助学金评审操作流程","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0007.md","drafted"
"KB-20260324-0008","P0-REX-0008","REX-20260323-0011","MAT-20260323-0008","奖助贷补","全体学生","秋季学期勤工助学岗位申报有哪些流程和节点？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/202503勤工助学岗位申报通知0905.docx","校内勤工助学岗位申报与管理流程","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0008.md","drafted"
"KB-20260324-0009","P0-REX-0009","REX-20260323-0012","MAT-20260323-0009","心理与测评","新生","新生心理健康测评的时间安排和测评要求是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf","2025级新生心理健康测评组织要求","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0009.md","drafted"
"KB-20260324-0010","P0-REX-0010","REX-20260323-0013","MAT-20260323-0010","心理与测评","学生","学生端心理测评系统从登录到提交应如何操作？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/3.【学生】中国大学生心理健康测评系统操作手册.pdf","学生端心理测评登录与提交流程","extracted","未复核","knowledge-base/entries/first-batch-drafts/KB-20260324-0010.md","drafted"
